pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp
Kepler-80 g,1.13,0.065,0.14,0.1303,0.5209227484918181,0.83,1,6,0.31,4540.0,0.68,
Kepler-800 b,2.85,8.5,0.1106,0.0,0.5661952739834993,0.85,1,1,2.02,5315.0,0.82,9360.35119963658
Kepler-801 b,2.0,4.66,0.0795,0.0,0.24618512557266742,0.67,1,1,3.2,4435.0,0.63,8074.950090604552
Kepler-802 b,3.54,12.3,0.2265,0.0,0.7756937995160011,0.93,1,1,1.52,5507.0,0.9,7100.055445316603
Kepler-803 b,3.79,13.8,0.26721,0.0,0.241,1.05,1,1,1.39,5919.0,1.12,7837.733816282612
Kepler-804 b,1.94,4.42,0.11287,0.0,0.05,1.01,1,2,3.33,5817.0,1.05,11475.297749237981
Kepler-804 c,1.14,1.55,0.08654,0.0,0.05,1.01,1,2,5.75,5817.0,1.05,13105.23400583432
Kepler-805 b,2.89,8.7,0.19852,0.0,0.541,1.19,1,1,1.98,6112.0,1.65,11396.79395337585
Kepler-806 b,1.14,1.55,0.07684,0.0,0.407,0.99,1,1,5.75,5770.0,1.16,14500.088130236163
Kepler-808 b,1.46,2.73,0.01314,0.0,0.3826904045279422,0.76,1,1,4.82,4653.0,0.71,22121.983112231843
Kepler-809 b,3.01,9.32,0.2901,0.0,0.001,0.99,1,1,1.88,5734.0,0.98,6816.420505221102
Kepler-81 b,2.42,17.2,0.0522,0.0,0.20971520000000002,0.64,1,3,6.67,4385.0,0.59,9534.981707241086
Kepler-81 c,2.37,4.3,0.08347,0.0,0.20971520000000002,0.64,1,3,1.77,4385.0,0.59,7540.322289546493
Kepler-81 d,1.21,1.92,0.128,0.0,0.22140975341264896,0.65,1,3,5.96,4500.0,0.59,6248.7485206464125
Kepler-810 b,1.93,4.38,0.055,0.0,1.1089967833248526,1.03,1,1,3.35,5803.0,1.04,16321.02415879835
Kepler-811 b,2.7,7.75,0.15911,0.0,0.323,1.01,1,1,2.16,5747.0,1.24,10376.784891974215
Kepler-812 b,3.55,12.3,0.1024,0.0,0.752,1.45,1,1,1.51,6761.0,1.71,17869.75198610327
